edge_type_id target_query source_query weight_function delay dynamics_params syn_weight model_template
161 node_type_id=='323838579' * weight_function_bkg 1.0 exc_to_e4.json 8.59391427069e-11 static_synapse
162 node_type_id=='476266853' * weight_function_bkg 1.0 exc_to_e4.json 8.59391427069e-11 static_synapse
163 node_type_id=='500964358' * weight_function_bkg 1.0 exc_to_e4.json 8.59391427069e-11 static_synapse
164 node_type_id=='517647182' * weight_function_bkg 1.0 exc_to_e4.json 8.59391427069e-11 static_synapse
165 node_type_id=='501570114' * weight_function_bkg 1.0 exc_to_vip.json 0.793264203462 static_synapse
166 node_type_id=='531121585' * weight_function_bkg 1.0 exc_to_vip.json 0.793264203462 static_synapse
167 node_type_id=='535728342' * weight_function_bkg 1.0 exc_to_vip.json 0.793264203462 static_synapse
168 node_type_id=='560690291' * weight_function_bkg 1.0 exc_to_vip.json 0.793264203462 static_synapse
169 node_type_id=='561934585' * weight_function_bkg 1.0 exc_to_vip.json 0.793264203462 static_synapse
170 node_type_id=='562540395' * weight_function_bkg 1.0 exc_to_vip.json 0.793264203462 static_synapse
171 node_type_id=='478793814' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
172 node_type_id=='478958894' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
173 node_type_id=='481127173' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
174 node_type_id=='481127348' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
175 node_type_id=='487405644' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
176 node_type_id=='487667205' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
177 node_type_id=='491038812' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
178 node_type_id=='569997187' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
179 node_type_id=='571314481' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
180 node_type_id=='572375809' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
181 node_type_id=='579414994' * weight_function_bkg 1.0 exc_to_pv.json 7.481130099256e-26 static_synapse
182 node_type_id=='476099282' * weight_function_bkg 1.0 exc_to_sst.json 3.657252909984 static_synapse
183 node_type_id=='476753465' * weight_function_bkg 1.0 exc_to_sst.json 3.657252909984 static_synapse
184 node_type_id=='485061364' * weight_function_bkg 1.0 exc_to_sst.json 3.657252909984 static_synapse
185 node_type_id=='501280518' * weight_function_bkg 1.0 exc_to_sst.json 3.657252909984 static_synapse
186 node_type_id=='501282204' * weight_function_bkg 1.0 exc_to_sst.json 3.657252909984 static_synapse
187 node_type_id=='573622646' * weight_function_bkg 1.0 exc_to_sst.json 3.657252909984 static_synapse
188 node_type_id=='314822529' * weight_function_bkg 1.0 exc_to_e5it.json 3.31151020159 static_synapse
189 node_type_id=='468120757' * weight_function_bkg 1.0 exc_to_e5it.json 3.31151020159 static_synapse
190 node_type_id=='480169178' * weight_function_bkg 1.0 exc_to_e5it.json 3.31151020159 static_synapse
191 node_type_id=='486110216' * weight_function_bkg 1.0 exc_to_e5it.json 3.31151020159 static_synapse
192 node_type_id=='485574832' * weight_function_bkg 1.0 exc_to_e5et.json 3.31151020159 static_synapse
193 node_type_id=='485838981' * weight_function_bkg 1.0 exc_to_e5et.json 3.31151020159 static_synapse
194 node_type_id=='486111903' * weight_function_bkg 1.0 exc_to_e5et.json 3.31151020159 static_synapse
195 node_type_id=='488679042' * weight_function_bkg 1.0 exc_to_e5et.json 3.31151020159 static_synapse
196 node_type_id=='488680917' * weight_function_bkg 1.0 exc_to_e5et.json 3.31151020159 static_synapse
197 node_type_id=='488683425' * weight_function_bkg 1.0 exc_to_e5et.json 3.31151020159 static_synapse
198 node_type_id=='322762730' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
199 node_type_id=='487445455' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
200 node_type_id=='487664070' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
201 node_type_id=='488419491' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
202 node_type_id=='488467273' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
203 node_type_id=='490263438' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
204 node_type_id=='505202906' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
205 node_type_id=='558675748' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
206 node_type_id=='562999984' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
207 node_type_id=='569469018' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
208 node_type_id=='569477234' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
209 node_type_id=='605141937' * weight_function_bkg 1.0 exc_to_e5np.json 3.31151020159 static_synapse
210 node_type_id=='568767467' * weight_function_bkg 1.0 exc_to_vip.json 0.01970275024068 static_synapse
211 node_type_id=='591627904' * weight_function_bkg 1.0 exc_to_vip.json 0.01970275024068 static_synapse
212 node_type_id=='592819166' * weight_function_bkg 1.0 exc_to_vip.json 0.01970275024068 static_synapse
213 node_type_id=='313861608' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
214 node_type_id=='318556138' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
215 node_type_id=='320455763' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
216 node_type_id=='469801569' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
217 node_type_id=='478949560' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
218 node_type_id=='480952106' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
219 node_type_id=='481093525' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
220 node_type_id=='484742372' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
221 node_type_id=='487400838' * weight_function_bkg 1.0 exc_to_pv.json 3.2695254225500004e-18 static_synapse
