target_model_id population unitary_PSP syn_weight dynamics_params syn_weight_psp
322723785 e4Rorb 0.060000000000002274 0.345 exc_to_e4.json 5.7499999999997815
322761772 e4Rorb 0.058000000000006935 0.345 exc_to_e4.json 5.948275862068254
324065524 e4Rorb 0.08099999999998886 0.345 exc_to_e4.json 4.259259259259845
329550277 e4Rorb 0.06199999999999761 0.345 exc_to_e4.json 5.564516129032472
466378900 e4Rorb 0.09300000000000352 0.345 exc_to_e4.json 3.7096774193546977
467003163 e4Rorb 0.06099999999999284 0.345 exc_to_e4.json 5.655737704918696
467357834 e4Rorb 0.054000000000002046 0.345 exc_to_e4.json 6.388888888888646
469763389 e4Rorb 0.06599999999998829 0.345 exc_to_e4.json 5.227272727273654
473020156 e4Rorb 0.07699999999999818 0.345 exc_to_e4.json 4.480519480519586
476562817 e4Rorb 0.06099999999999284 0.345 exc_to_e4.json 5.655737704918696
478586425 e4Rorb 0.06700000000000728 0.345 exc_to_e4.json 5.149253731342724
479179020 e4Rorb 0.05700000000000216 0.345 exc_to_e4.json 5.447368421052425
484679812 e4Rorb 0.07699999999999818 0.345 exc_to_e4.json 4.032467532467628
484770879 e4Rorb 0.0589999999999975 0.345 exc_to_e4.json 5.847457627118891
485836906 e4Rorb 0.04899999999999238 0.345 exc_to_e4.json 7.040816326531706
486472847 e4Rorb 0.0799999999999983 0.345 exc_to_e4.json 4.3125000000000915
486500736 e4Rorb 0.04099999999999682 0.345 exc_to_e4.json 8.414634146342117
490626718 e4Rorb 0.07099999999999795 0.345 exc_to_e4.json 4.859154929577604
490626827 e4Rorb 0.06700000000000728 0.345 exc_to_e4.json 5.149253731342724
500859045 e4Rorb 0.06100000000000705 0.345 exc_to_e4.json 5.655737704917379
500894271 e4Rorb 0.06100000000000705 0.345 exc_to_e4.json 5.655737704917379
320207387 e4Scnn1a 0.053999999999987836 0.345 exc_to_e4.json 6.388888888890327
323838579 e4Scnn1a 0.06099999999999284 0.345 exc_to_e4.json 5.655737704918696
476266853 e4Scnn1a 0.060000000000002274 0.345 exc_to_e4.json 5.7499999999997815
500964358 e4Scnn1a 0.05500000000000682 0.345 exc_to_e4.json 6.272727272726494
517647182 e4Scnn1a 0.055999999999997385 0.345 exc_to_e4.json 5.544642857143115
501570114 i4Vip 0.08899999999999864 0.345 exc_to_vip.json 3.8764044943820815
531121585 i4Vip 0.0730000000000075 0.345 exc_to_vip.json 4.726027397259788
535728342 i4Vip 0.10599999999999454 0.345 exc_to_vip.json 1.6273584905661214
560690291 i4Vip 0.07099999999999795 0.345 exc_to_vip.json 4.859154929577604
561934585 i4Vip 0.045000000000001705 0.345 exc_to_vip.json 7.666666666666376
562540395 i4Vip 0.06900000000000261 0.345 exc_to_vip.json 4.99999999999981
478793814 i4Pvalb 0.0309999999999917 0.345 exc_to_pv.json 7.790322580647246
478958894 i4Pvalb 0.029999999999986926 0.345 exc_to_pv.json 10.35000000000451
481127173 i4Pvalb 0.036000000000001364 0.345 exc_to_pv.json 9.58333333333297
481127348 i4Pvalb 0.04600000000000648 0.345 exc_to_pv.json 7.499999999998943
487405644 i4Pvalb 0.05500000000000682 0.345 exc_to_pv.json 6.272727272726494
487667205 i4Pvalb 0.03700000000000614 0.345 exc_to_pv.json 9.324324324322777
491038812 i4Pvalb 0.028999999999996362 0.345 exc_to_pv.json 11.896551724139423
569997187 i4Pvalb 0.043000000000006366 0.345 exc_to_pv.json 5.61627906976661
571314481 i4Pvalb 0.04599999999999227 0.345 exc_to_pv.json 7.500000000001259
572375809 i4Pvalb 0.03499999999999659 0.345 exc_to_pv.json 7.8857142857150535
579414994 i4Pvalb 0.029000000000003467 0.345 exc_to_pv.json 7.1379310344819045
476099282 i4Sst 0.08300000000001262 0.345 exc_to_sst.json 4.156626506023464
476753465 i4Sst 0.07699999999999818 0.345 exc_to_sst.json 4.480519480519586
485061364 i4Sst 0.06099999999999284 0.345 exc_to_sst.json 5.655737704918696
501280518 i4Sst 0.060000000000002274 0.345 exc_to_sst.json 5.7499999999997815
501282204 i4Sst 0.03100000000000591 0.345 exc_to_sst.json 11.129032258062393
573622646 i4Sst 0.049000000000006594 0.345 exc_to_sst.json 7.040816326529664
