model_id population "Unitary PSP" syn_weight nsyns dynamics_params target_median_fr syn_weight_psp
475585413 i1Htr3a 0.09999999999999432 4.678465901004 1 exc_to_vip.json 2.21 46.78465901004267
482649712 i1Htr3a 0.09099999999999397 4.678465901004 1 exc_to_vip.json 2.21 51.411713197849565
482654108 i1Htr3a 0.057999999999992724 4.678465901004 1 exc_to_vip.json 2.21 80.66320518973427
484509440 e23Cux2 0.07399999999999807 3.976659363085 1 exc_to_e23.json 0.63 53.738640041690594
486262299 e23Cux2 0.0309999999999917 3.976659363085 1 exc_to_e23.json 0.63 128.27933429309886
486753754 e23Cux2 0.09100000000000819 3.976659363085 1 exc_to_e23.json 0.63 43.699553440490575
489751692 e23Cux2 0.10500000000000398 3.976659363085 1 exc_to_e23.json 0.63 37.872946315093806
490376252 e23Cux2 0.07800000000000296 3.976659363085 1 exc_to_e23.json 0.63 50.982812347241655
505512874 e23Cux2 0.06200000000001182 3.976659363085 1 exc_to_e23.json 0.63 64.13966714652003
513510227 e23Cux2 0.03100000000000591 3.976659363085 1 exc_to_e23.json 0.63 128.27933429304005
501736631 i23Vip 0.03999999999999204 2.469383327728 1 exc_to_vip.json 14.73 61.73458319321228
514767977 i23Vip 0.09199999999999875 2.469383327728 1 exc_to_vip.json 14.73 26.841123127478625
522418855 i23Vip 0.09300000000000352 2.469383327728 1 exc_to_vip.json 14.73 26.55250890030007
523478869 i23Vip 0.045000000000001705 2.469383327728 1 exc_to_vip.json 14.73 54.87518506062014
524689239 i23Vip 0.06999999999999318 2.469383327728 1 exc_to_vip.json 14.73 35.27690468183201
524693113 i23Vip 0.1039999999999992 2.469383327728 1 exc_to_vip.json 14.73 23.744070458923257
524876305 i23Vip 0.07600000000000762 2.469383327728 1 exc_to_vip.json 14.73 32.49188589115464
560814288 i23Vip 0.1110000000000042 2.469383327728 1 exc_to_vip.json 14.73 22.246696646197353
562539062 i23Vip 0.09900000000000375 2.469383327728 1 exc_to_vip.json 14.73 24.94326593664552
575920560 i23Vip 0.06300000000000239 2.469383327728 1 exc_to_vip.json 14.73 39.196560757585814
341016267 i23Pvalb 0.03699999999999193 2.06360632416 1 exc_to_pv.json 7.35 55.773143896228376
341442651 i23Pvalb 0.031999999999996476 2.06360632416 1 exc_to_pv.json 7.35 64.48769763000709
469614747 i23Pvalb 0.04200000000000159 2.06360632416 1 exc_to_pv.json 7.35 49.13348390856956
477490421 i23Pvalb 0.031999999999996476 2.06360632416 1 exc_to_pv.json 7.35 64.48769763000709
479298854 i23Pvalb 0.027000000000001023 2.06360632416 1 exc_to_pv.json 7.35 76.42986385777488
481018305 i23Pvalb 0.0379999999999967 2.06360632416 1 exc_to_pv.json 7.35 54.3054295831626
482444444 i23Pvalb 0.031999999999996476 2.06360632416 1 exc_to_pv.json 7.35 64.48769763000709
484635029 i23Pvalb 0.033999999999991815 2.06360632416 1 exc_to_pv.json 7.35 60.694303651779315
485184849 i23Pvalb 0.03100000000000591 2.06360632416 1 exc_to_pv.json 7.35 66.56794594063246
485245025 i23Pvalb 0.038000000000010914 2.06360632416 1 exc_to_pv.json 7.35 54.30542958314229
488501071 i23Pvalb 0.029999999999986926 2.06360632416 1 exc_to_pv.json 7.35 68.78687747202997
574992320 i23Pvalb 0.028999999999996362 2.06360632416 1 exc_to_pv.json 7.35 71.15883876414685
313862274 i23Sst 0.04800000000000182 4.83280828545 1 exc_to_sst.json 3.82 100.68350594687118
324493977 i23Sst 0.05100000000000193 4.83280828545 1 exc_to_sst.json 3.82 94.76094677352582
476686112 i23Sst 0.05499999999999261 4.83280828545 1 exc_to_sst.json 3.82 87.86924155364817
485466109 i23Sst 0.056000000000011596 4.83280828545 1 exc_to_sst.json 3.82 86.3001479544464
488677994 i23Sst 0.055999999999997385 4.83280828545 1 exc_to_sst.json 3.82 86.30014795446831
491026389 i23Sst 0.04600000000000648 4.83280828545 1 exc_to_sst.json 3.82 105.06104968368085
623960880 i23Sst 0.046999999999997044 4.83280828545 1 exc_to_sst.json 3.82 102.82570820107028
354833767 e4Nr5a1 0.055999999999997385 3.334693673586e-14 1 exc_to_e4.json 2.12 5.954810131403849e-13
369697038 e4Nr5a1 0.06699999999999307 3.334693673586e-14 1 exc_to_e4.json 2.12 4.977154736696037e-13
386049446 e4Nr5a1 0.0689999999999884 3.334693673586e-14 1 exc_to_e4.json 2.12 4.832889382009508e-13
397354239 e4Nr5a1 0.05500000000000682 3.334693673586e-14 1 exc_to_e4.json 2.12 6.063079406519248e-13
465924786 e4Nr5a1 0.06099999999999284 3.334693673586e-14 1 exc_to_e4.json 2.12 5.46671094030556e-13
469704261 e4Nr5a1 0.04999999999999716 3.334693673586e-14 1 exc_to_e4.json 2.12 6.669387347172379e-13
469734859 e4Nr5a1 0.06499999999999773 3.334693673586e-14 1 exc_to_e4.json 2.12 5.130297959363256e-13
475838754 e4Nr5a1 0.046999999999997044 3.334693673586e-14 1 exc_to_e4.json 2.12 7.09509292252385e-13
478439166 e4Nr5a1 0.0899999999999892 3.334693673586e-14 1 exc_to_e4.json 2.12 3.705215192873778e-13
489754156 e4Nr5a1 0.07800000000000296 3.334693673586e-14 1 exc_to_e4.json 2.12 4.2752482994690684e-13
502260112 e4Nr5a1 0.05100000000000193 3.334693673586e-14 1 exc_to_e4.json 2.12 6.53861504624681e-13
505808144 e4Nr5a1 0.06099999999999284 3.334693673586e-14 1 exc_to_e4.json 2.12 5.46671094030556e-13
517977609 e4Nr5a1 0.057999999999992724 3.334693673586e-14 1 exc_to_e4.json 2.12 5.749471851011065e-13
