target_model_id population unitary_PSP syn_weight nsyns dynamics_params target_median_fr syn_weight_psp
322723785 e4Rorb 0.060000000000002274 7.090524410229e-08 1 exc_to_e4.json 2.12 1.1817540683714552e-06
322761772 e4Rorb 0.058000000000006935 7.090524410229e-08 1 exc_to_e4.json 2.12 1.2225042086600262e-06
324065524 e4Rorb 0.08099999999998886 7.090524410229e-08 1 exc_to_e4.json 2.12 8.753733839790093e-07
329550277 e4Rorb 0.06199999999999761 7.090524410229e-08 1 exc_to_e4.json 2.12 1.1436329693918182e-06
466378900 e4Rorb 0.09300000000000352 7.090524410229e-08 1 exc_to_e4.json 2.12 7.624219795944872e-07
467003163 e4Rorb 0.06099999999999284 7.090524410229e-08 1 exc_to_e4.json 2.12 1.1623810508573496e-06
467357834 e4Rorb 0.054000000000002046 7.090524410229e-08 1 exc_to_e4.json 2.12 1.3130600759682835e-06
469763389 e4Rorb 0.06599999999998829 7.090524410229e-08 1 exc_to_e4.json 2.12 1.0743218803379179e-06
473020156 e4Rorb 0.07699999999999818 7.090524410229e-08 1 exc_to_e4.json 2.12 9.20847326003788e-07
476562817 e4Rorb 0.06099999999999284 7.090524410229e-08 1 exc_to_e4.json 2.12 1.1623810508573496e-06
478586425 e4Rorb 0.06700000000000728 7.090524410229e-08 1 exc_to_e4.json 2.12 1.0582872254071984e-06
479179020 e4Rorb 0.05700000000000216 7.090524410229e-08 1 exc_to_e4.json 2.12 1.2439516509173212e-06
484679812 e4Rorb 0.07699999999999818 7.090524410229e-08 1 exc_to_e4.json 2.12 9.20847326003788e-07
484770879 e4Rorb 0.0589999999999975 7.090524410229e-08 1 exc_to_e4.json 2.12 1.2017837983439491e-06
485836906 e4Rorb 0.04899999999999238 7.090524410229e-08 1 exc_to_e4.json 2.12 1.4470457980061433e-06
486472847 e4Rorb 0.0799999999999983 7.090524410229e-08 1 exc_to_e4.json 2.12 8.863155512786438e-07
486500736 e4Rorb 0.04099999999999682 7.090524410229e-08 1 exc_to_e4.json 2.12 1.7293961976169635e-06
490626718 e4Rorb 0.07099999999999795 7.090524410229e-08 1 exc_to_e4.json 2.12 9.986654098914372e-07
490626827 e4Rorb 0.06700000000000728 7.090524410229e-08 1 exc_to_e4.json 2.12 1.0582872254071984e-06
500859045 e4Rorb 0.06100000000000705 7.090524410229e-08 1 exc_to_e4.json 2.12 1.1623810508570787e-06
500894271 e4Rorb 0.06100000000000705 7.090524410229e-08 1 exc_to_e4.json 2.12 1.1623810508570787e-06
320207387 e4Scnn1a 0.053999999999987836 8.59391427069e-11 1 exc_to_e4.json 2.12 1.5914656056836917e-09
323838579 e4Scnn1a 0.06099999999999284 8.59391427069e-11 1 exc_to_e4.json 2.12 1.4088384050313128e-09
476266853 e4Scnn1a 0.060000000000002274 8.59391427069e-11 1 exc_to_e4.json 2.12 1.4323190451149457e-09
500964358 e4Scnn1a 0.05500000000000682 8.59391427069e-11 1 exc_to_e4.json 2.12 1.562529867397988e-09
517647182 e4Scnn1a 0.055999999999997385 8.59391427069e-11 1 exc_to_e4.json 2.12 1.5346275483375716e-09
501570114 i4Vip 0.08899999999999864 0.793264203462 1 exc_to_vip.json 3.13 8.913080937775417
531121585 i4Vip 0.0730000000000075 0.793264203462 1 exc_to_vip.json 3.13 10.86663292413587
535728342 i4Vip 0.10599999999999454 0.793264203462 1 exc_to_vip.json 3.13 7.4836245609626495
560690291 i4Vip 0.07099999999999795 0.793264203462 1 exc_to_vip.json 3.13 11.17273526002849
561934585 i4Vip 0.045000000000001705 0.793264203462 1 exc_to_vip.json 3.13 17.628093410265997
562540395 i4Vip 0.06900000000000261 0.793264203462 1 exc_to_vip.json 3.13 11.49658265886913
478793814 i4Pvalb 0.0309999999999917 7.481130099256e-26 1 exc_to_pv.json 8.86 2.4132677739541946e-24
478958894 i4Pvalb 0.029999999999986926 7.481130099256e-26 1 exc_to_pv.json 8.86 2.4937100330864203e-24
481127173 i4Pvalb 0.036000000000001364 7.481130099256e-26 1 exc_to_pv.json 8.86 2.078091694237699e-24
481127348 i4Pvalb 0.04600000000000648 7.481130099256e-26 1 exc_to_pv.json 8.86 1.6263326302728145e-24
487405644 i4Pvalb 0.05500000000000682 7.481130099256e-26 1 exc_to_pv.json 8.86 1.3602054725918314e-24
487667205 i4Pvalb 0.03700000000000614 7.481130099256e-26 1 exc_to_pv.json 8.86 2.0219270538526374e-24
491038812 i4Pvalb 0.028999999999996362 7.481130099256e-26 1 exc_to_pv.json 8.86 2.5797000342265305e-24
569997187 i4Pvalb 0.043000000000006366 7.481130099256e-26 1 exc_to_pv.json 8.86 1.739797697501138e-24
571314481 i4Pvalb 0.04599999999999227 7.481130099256e-26 1 exc_to_pv.json 8.86 1.6263326302733168e-24
572375809 i4Pvalb 0.03499999999999659 7.481130099256e-26 1 exc_to_pv.json 8.86 2.1374657426447796e-24
579414994 i4Pvalb 0.029000000000003467 7.481130099256e-26 1 exc_to_pv.json 8.86 2.5797000342258986e-24
476099282 i4Sst 0.08300000000001262 3.657252909984 1 exc_to_sst.json 3.82 44.063288072089684
476753465 i4Sst 0.07699999999999818 3.657252909984 1 exc_to_sst.json 3.82 47.49679103875437
485061364 i4Sst 0.06099999999999284 3.657252909984 1 exc_to_sst.json 3.82 59.95496573744966
501280518 i4Sst 0.060000000000002274 3.657252909984 1 exc_to_sst.json 3.82 60.95421516639769
501282204 i4Sst 0.03100000000000591 3.657252909984 1 exc_to_sst.json 3.82 117.97590032204201
