edge_type_id target_query source_query dynamics_params model_template weight_function delay syn_weight
164 node_type_id=='517647182' * exc_to_e4.json static_synapse weight_function_bkg 1.0 8.59391427069e-11
165 node_type_id=='501570114' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.793264203462
166 node_type_id=='531121585' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.793264203462
167 node_type_id=='535728342' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.793264203462
168 node_type_id=='560690291' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.793264203462
169 node_type_id=='561934585' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.793264203462
170 node_type_id=='562540395' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.793264203462
171 node_type_id=='478793814' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
172 node_type_id=='478958894' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
173 node_type_id=='481127173' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
174 node_type_id=='481127348' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
175 node_type_id=='487405644' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
176 node_type_id=='487667205' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
177 node_type_id=='491038812' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
178 node_type_id=='569997187' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
179 node_type_id=='571314481' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
180 node_type_id=='572375809' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
181 node_type_id=='579414994' * exc_to_pv.json static_synapse weight_function_bkg 1.0 7.481130099256e-26
182 node_type_id=='476099282' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.657252909984
183 node_type_id=='476753465' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.657252909984
184 node_type_id=='485061364' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.657252909984
185 node_type_id=='501280518' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.657252909984
186 node_type_id=='501282204' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.657252909984
187 node_type_id=='573622646' * exc_to_sst.json static_synapse weight_function_bkg 1.0 3.657252909984
188 node_type_id=='314822529' * exc_to_e5it.json static_synapse weight_function_bkg 1.0 3.31151020159
189 node_type_id=='468120757' * exc_to_e5it.json static_synapse weight_function_bkg 1.0 3.31151020159
190 node_type_id=='480169178' * exc_to_e5it.json static_synapse weight_function_bkg 1.0 3.31151020159
191 node_type_id=='486110216' * exc_to_e5it.json static_synapse weight_function_bkg 1.0 3.31151020159
192 node_type_id=='485574832' * exc_to_e5et.json static_synapse weight_function_bkg 1.0 3.31151020159
193 node_type_id=='485838981' * exc_to_e5et.json static_synapse weight_function_bkg 1.0 3.31151020159
194 node_type_id=='488683425' * exc_to_e5et.json static_synapse weight_function_bkg 1.0 3.31151020159
195 node_type_id=='568767467' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.01970275024068
196 node_type_id=='591627904' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.01970275024068
197 node_type_id=='592819166' * exc_to_vip.json static_synapse weight_function_bkg 1.0 0.01970275024068
198 node_type_id=='313861608' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
199 node_type_id=='318556138' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
200 node_type_id=='320455763' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
201 node_type_id=='469801569' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
202 node_type_id=='478949560' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
203 node_type_id=='480952106' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
204 node_type_id=='481093525' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
205 node_type_id=='484742372' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
206 node_type_id=='487400838' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
207 node_type_id=='487594856' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
208 node_type_id=='488440436' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
209 node_type_id=='515305346' * exc_to_pv.json static_synapse weight_function_bkg 1.0 3.2695254225500004e-18
210 node_type_id=='313862134' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
211 node_type_id=='328015342' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
212 node_type_id=='328031983' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
213 node_type_id=='329224678' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
214 node_type_id=='329254830' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
215 node_type_id=='464212183' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
216 node_type_id=='473011949' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
217 node_type_id=='473593847' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
218 node_type_id=='475057898' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
219 node_type_id=='475542907' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
220 node_type_id=='475580568' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
221 node_type_id=='482690728' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
222 node_type_id=='485058595' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
223 node_type_id=='485455285' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
224 node_type_id=='486352114' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
225 node_type_id=='490173806' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
226 node_type_id=='491029832' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
227 node_type_id=='491030723' * exc_to_sst.json static_synapse weight_function_bkg 1.0 1.757218084128
